order_id,account_id,bank_to,account_to,amount,k_symbol
30045,426,MN,45444989,4201.2,UVER
30046,426,AB,9528249,7497.0,SIPO
30047,426,GH,34606760,886.0, 
30055,435,MN,75157016,3189.0,SIPO
30059,437,CD,83092337,2248.0,SIPO
30060,437,YZ,18505370,3106.0, 
30069,443,KL,39137601,1508.0,SIPO
30070,443,IJ,32109809,463.0, 
30071,443,QR,69234090,67.0,POJISTNE
30073,445,QR,65335863,3998.0,SIPO
30074,445,IJ,49652427,7567.0, 
30089,456,WX,12626231,4783.1,LEASING
30092,458,AB,65390032,9586.0,SIPO
30093,458,CD,51641261,1031.0,LEASING
30105,469,AB,32004195,2672.0,SIPO
30106,470,AB,41005563,3568.0,SIPO
30107,470,IJ,70524096,630.0, 
30108,470,OP,43083483,1078.0,POJISTNE
30145,490,UV,89067864,2042.0,SIPO
30146,491,EF,26434993,9090.0,SIPO
30161,502,ST,27518320,2498.0,SIPO
30171,508,YZ,41786360,2480.0,SIPO
30186,520,MN,67366206,2332.0,SIPO
30190,524,AB,71994364,5768.0,SIPO
30196,529,MN,85919022,3344.0,SIPO
30197,531,OP,48101,2144.0,SIPO
30217,544,EF,24082440,3798.2,UVER
30231,557,MN,88362860,2050.0,SIPO
30241,565,KL,67758250,3509.0,SIPO
30255,578,ST,9104431,5484.0,SIPO
30256,578,KL,6721955,601.0, 
30257,578,KL,88757896,17.0,POJISTNE
30258,578,CD,84361481,57.0, 
30261,580,KL,18037027,3571.0,SIPO
30262,580,AB,27916240,1715.0, 
30263,581,KL,62047934,1502.0,SIPO
30267,588,AB,29001635,3141.0,SIPO
30268,588,MN,81579917,1437.0, 
30269,588,KL,40627336,511.0,POJISTNE
30300,618,ST,52253526,747.0,SIPO
30301,618,WX,93719195,3035.0, 
30327,635,OP,12794989,1683.0,SIPO
30328,635,GH,86240660,2707.0, 
30329,635,KL,117952,2160.0,POJISTNE
30330,635,UV,56503492,1547.0, 
30336,639,ST,77312248,2046.0,SIPO
30344,647,UV,41266620,6465.0,SIPO
30360,658,ST,92509448,2703.0,SIPO
30372,666,AB,85506128,3936.0,SIPO
30373,666,ST,70089435,2282.0, 
30374,666,GH,93173819,955.0,POJISTNE
30375,666,UV,65873688,1045.0,UVER
30390,673,KL,71669763,4586.0,SIPO
30394,676,GH,72221982,3017.0,SIPO
30404,682,QR,39035719,1477.0,SIPO
30405,682,CD,62099003,537.0, 
30420,690,ST,19503748,7152.0,SIPO
30421,690,ST,45288330,1749.0,LEASING
30432,700,WX,21956253,1116.0,SIPO
30433,700,YZ,83101778,1646.0, 
30449,717,KL,48199552,6561.0,SIPO
30466,725,OP,86504637,2612.0,SIPO
30474,731,UV,24144953,2706.0,SIPO
30492,749,WX,49041187,4965.0,SIPO
30493,749,WX,49583470,226.0, 
30494,749,QR,72902929,51.0,POJISTNE
30495,749,UV,44345706,26.0, 
30496,750,YZ,4588097,6615.0,SIPO
30497,751,GH,74106764,2363.0,SIPO
30505,757,CD,82420587,810.0,SIPO
30506,757,KL,64578419,2289.0, 
30508,760,OP,1005852,3403.0,SIPO
30509,760,OP,88799416,894.0, 
30510,760,AB,76297777,909.0,POJISTNE
30515,767,KL,91866522,3564.0,SIPO
30516,767,QR,39504963,504.0, 
30517,767,GH,63160019,109.0,POJISTNE
30518,767,KL,32800996,22.0, 
30530,775,EF,6431270,1168.0,SIPO
30531,775,ST,6988245,2439.0, 
30552,789,OP,64140730,2153.0,SIPO
30553,789,OP,84300315,1641.0, 
30554,789,AB,13870329,1522.0,UVER
30557,792,AB,75295537,485.0,SIPO
30558,792,AB,50819605,1326.0, 
30559,792,MN,90125488,588.0,POJISTNE
30578,808,QR,95864551,4492.0,UVER
30579,809,GH,26098048,8298.0,SIPO
30582,812,ST,41519075,9128.0,SIPO
30619,837,AB,57949954,9250.0,SIPO
30635,851,KL,59494537,2090.0,LEASING
30636,851,GH,75825410,3254.0,SIPO
30637,851,IJ,26014739,881.0, 
30642,854,AB,21777671,382.0,SIPO
30643,854,KL,41849011,1105.0, 
30644,854,IJ,6306148,2843.0,POJISTNE
30645,854,OP,54977858,1817.0,UVER
30652,858,ST,28566694,5456.0,SIPO
30670,867,EF,96948867,9718.0,SIPO
30671,867,ST,12128901,2820.0, 
30672,867,IJ,10908985,405.0,POJISTNE
30676,871,OP,96428060,5168.0,SIPO
30705,886,AB,44119823,9034.0,SIPO
30708,889,YZ,22207898,1292.0,SIPO
30709,889,IJ,99116205,1965.0,SIPO
30723,900,ST,51806682,5950.0,SIPO
30739,913,EF,87569880,2128.0,SIPO
30740,913,QR,52878284,2357.0, 
30741,913,KL,91468649,4499.0,POJISTNE
30759,925,AB,8015108,5395.0,SIPO
30760,925,EF,71048921,1068.0,LEASING
30761,926,UV,50076764,1748.0,SIPO
30764,928,EF,72199558,4561.0,SIPO
30767,931,QR,69328868,998.0,SIPO
30768,931,OP,98647319,1151.0, 
30769,931,KL,13773954,461.0,POJISTNE
30770,931,MN,2668875,864.0, 
30772,933,GH,91725241,2584.0,SIPO
30780,939,QR,68136739,2108.0,SIPO
30783,943,AB,8294791,2144.0,SIPO
30819,977,ST,60977023,6846.0,SIPO
30847,993,WX,89932006,1812.3,UVER
30859,1000,YZ,78449135,3179.0,SIPO
30860,1000,CD,8467102,1475.0, 
30861,1000,OP,62838387,2852.0,POJISTNE
30867,1003,IJ,18349242,5276.0,SIPO
30868,1003,UV,66745954,185.0, 
30869,1004,KL,48386609,5237.0,UVER
30872,1006,YZ,28566903,390.0,SIPO
30873,1006,EF,8671278,2008.0, 
30874,1006,EF,76910799,60.0,POJISTNE
30875,1006,KL,51874184,33.0, 
30880,1011,QR,9464615,3400.5,UVER
30881,1011,WX,17116374,7085.0,SIPO
30882,1012,EF,56211417,4090.8,UVER
30885,1016,UV,35817569,2619.0,SIPO
30886,1016,MN,21620893,2155.0, 
30898,1024,IJ,50779986,2074.0,SIPO
30924,1038,OP,88674932,2006.0,SIPO
30925,1038,GH,65748941,141.0, 
30931,1044,MN,62729650,2880.0,SIPO
30932,1044,GH,18615305,188.0, 
30954,1067,AB,90449589,7811.0,SIPO
30985,1089,OP,36553853,756.0,SIPO
30986,1089,QR,13997078,2962.0, 
30998,1097,OP,95009862,7636.0,SIPO
30999,1097,OP,33397758,870.0, 
31000,1097,CD,50336754,577.0,POJISTNE
31001,1097,UV,86982053,42.0, 
31012,1101,ST,64489167,7553.0,SIPO
31030,1118,UV,32868296,3637.0,SIPO
31031,1118,GH,4071104,1388.0, 
31034,1120,GH,5904931,1508.0,SIPO
31035,1120,KL,15175223,1195.0,SIPO
31038,1124,WX,20725280,4813.7,LEASING
31039,1124,YZ,35057538,1030.0,SIPO
31040,1124,GH,54822939,2739.0, 
31076,1145,IJ,24233013,478.0,SIPO
31077,1145,KL,38151466,1469.0, 
31102,1168,WX,84145503,2432.0,SIPO
31103,1168,GH,54825097,1838.0, 
31104,1168,MN,2626044,48.0,POJISTNE
31105,1168,WX,34381449,40.0, 
31128,1182,UV,22986358,1662.7,LEASING
31144,1195,IJ,70545512,1890.0,SIPO
31145,1195,IJ,17328250,453.0,SIPO
31146,1196,GH,66254877,12445.0,SIPO
31175,1212,CD,49310952,2805.0,SIPO
31178,1215,QR,60905134,2508.0,SIPO
31186,1222,WX,91109859,1727.0,SIPO
31205,1234,WX,71036088,2236.0,SIPO
31271,1277,OP,2533764,3175.0,SIPO
31285,1287,EF,52661430,2623.0,SIPO
31286,1287,UV,28742987,6619.0, 
31287,1287,CD,8041507,525.0,POJISTNE
31299,1295,UV,74620097,3282.0,SIPO
31304,1299,CD,17364889,317.0,SIPO
31305,1299,GH,4791987,2291.0, 
31315,1308,CD,27181756,3206.0,SIPO
31320,1314,IJ,52970862,6889.0,SIPO
31349,1326,YZ,57284325,96.0,SIPO
31350,1326,QR,42594999,786.0, 
31351,1326,ST,57544726,1207.0,POJISTNE
31352,1326,QR,85305046,954.0, 
31362,1335,QR,86276912,5367.0,SIPO
31363,1335,MN,66854125,1044.0, 
31364,1336,CD,63792580,9426.0,SIPO
31365,1337,WX,46227514,3264.0,SIPO
31382,1346,WX,66261118,1592.0,SIPO
31383,1346,AB,56407761,475.0, 
31385,1348,CD,53150421,5025.0,SIPO
31386,1348,ST,8676511,17.0, 
31387,1348,UV,14109647,492.0,POJISTNE
31426,1374,WX,38325822,8107.3,UVER
31427,1375,CD,90090238,5930.0,SIPO
31428,1375,MN,47862768,1889.0,UVER
31430,1377,QR,94826453,2272.0,SIPO
31440,1382,IJ,22867429,2059.0,SIPO
31458,1396,AB,60094183,14707.0,SIPO
31469,1402,ST,2188045,2073.0,SIPO
31470,1402,IJ,79063850,2221.0, 
31471,1402,IJ,52195531,471.0,POJISTNE
31472,1402,EF,12338292,374.0, 
31473,1403,ST,50271129,9120.0,SIPO
31504,1420,QR,22850889,1794.0,SIPO
31510,1426,GH,15124905,2681.0,SIPO
31513,1429,EF,8150911,2166.0,SIPO
31514,1430,CD,90607785,4127.0,UVER
31525,1439,MN,79379254,2122.0,SIPO
31526,1440,ST,85377597,56.0,SIPO
31527,1440,IJ,63291668,2020.0, 
31528,1440,IJ,66044574,56.0,POJISTNE
31568,1469,EF,97405832,3574.0,SIPO
31569,1470,AB,72926729,4060.0,SIPO
31570,1471,CD,85543155,7823.0,SIPO
31571,1471,YZ,17326855,12.0, 
31572,1471,MN,59438282,176.0,POJISTNE
31575,1473,QR,28500956,1984.0,SIPO
31577,1476,YZ,33632028,3467.0,SIPO
31578,1477,OP,39149236,2100.0,SIPO
31586,1483,YZ,92452376,1962.0,SIPO
31587,1483,AB,39453744,2701.0, 
31590,1485,MN,47115165,336.0,SIPO
31591,1485,EF,43014037,5949.0, 
31592,1485,OP,33874970,1018.0,LEASING
31606,1495,IJ,9478509,3059.0,SIPO
31607,1495,MN,97259157,670.0, 
31616,1501,OP,40921163,2292.0,SIPO
31640,1517,ST,15521866,2601.0,SIPO
31663,1535,UV,60955130,2757.0,SIPO
31671,1542,CD,9322101,2655.0,SIPO
31717,1570,UV,20745683,2865.0,SIPO
31727,1578,UV,44909232,1825.0,SIPO
31740,1591,AB,70031231,7680.0,SIPO
31741,1591,AB,57081830,26.0, 
31742,1591,AB,34176314,153.0,POJISTNE
31752,1596,KL,29656684,1306.0,SIPO
31753,1596,OP,20661324,1997.0,SIPO
31754,1597,GH,13610762,2376.0,SIPO
31757,1599,OP,68704247,1337.0,SIPO
31758,1599,WX,99690108,4004.0, 
31770,1610,UV,10384375,6258.0,SIPO
31771,1611,UV,84055351,403.0,SIPO
31772,1611,IJ,54032,3403.0, 
31775,1615,QR,27684122,3124.0,SIPO
31779,1619,ST,53959548,3220.0,SIPO
31780,1620,ST,23482644,1931.0,SIPO
31784,1623,UV,2717727,9160.0,SIPO
31825,1650,IJ,90931999,3649.0,SIPO
31826,1650,OP,60317361,9100.0, 
31832,1656,IJ,73249953,3954.3,UVER
31833,1656,YZ,10182565,12113.0,SIPO
31873,1685,ST,17528325,7968.0,SIPO
31887,1696,QR,41205018,2159.0,SIPO
31901,1705,KL,33791291,5502.0,SIPO
31905,1708,IJ,89942037,4519.0,SIPO
31906,1708,WX,62805408,3339.0, 
31907,1709,MN,20695013,3227.0,SIPO
31917,1718,CD,9266335,7178.0,UVER
31918,1718,AB,69613939,14456.0,SIPO
31919,1719,UV,80013709,2768.0,SIPO
31925,1724,QR,97682117,1604.0,SIPO
31933,1728,OP,84701668,4954.0,SIPO
31934,1729,YZ,10198331,6554.0,SIPO
31935,1730,WX,42885518,1978.0,SIPO
31946,1740,WX,75491714,2713.0,SIPO
31948,1742,IJ,12537497,3827.0,SIPO
32002,1778,YZ,55264913,3432.0,SIPO
32011,1786,QR,45089298,8818.0,SIPO
32012,1787,EF,8468449,8033.2,UVER
32017,1792,IJ,49249744,1712.0,SIPO
32018,1793,IJ,77564143,5182.0,SIPO
32019,1793,ST,32010120,1345.0,LEASING
32029,1798,AB,9787851,2602.0,SIPO
32030,1798,MN,65253668,1687.0, 
32031,1798,YZ,15383804,4316.0,POJISTNE
32032,1799,MN,72883474,2514.0,SIPO
32039,1802,UV,57112502,1112.0,SIPO
32040,1802,CD,33883029,1396.0,SIPO
32045,1806,UV,84037089,2552.0,SIPO
32048,1809,KL,35650015,6269.0,SIPO
32049,1809,WX,62114232,183.0, 
32050,1809,WX,80008905,6860.0,POJISTNE
32059,1814,QR,75643884,3035.0,SIPO
32085,1831,KL,26089942,2047.0,SIPO
32109,1847,MN,59477126,1815.0,SIPO
32134,1866,IJ,75322639,5051.0,SIPO
32135,1866,MN,7592410,1896.0,UVER
32152,1882,IJ,5768174,1907.0,SIPO
32153,1882,AB,81505483,1936.0, 
32154,1882,OP,35459327,60.0,POJISTNE
32159,1887,IJ,2468169,5608.0,SIPO
32195,1908,UV,45842748,3594.0,SIPO
32205,1915,EF,85960626,4052.0,SIPO
32206,1915,GH,43997365,2142.0, 
32212,1920,GH,77530604,3570.0,SIPO
32221,1927,ST,54550802,2283.0,SIPO
32265,1959,YZ,8956242,2975.0,SIPO
32266,1959,QR,89473181,167.0,SIPO
32273,1963,OP,92063742,3175.0,SIPO
32277,1967,YZ,88398128,5194.0,UVER
32278,1967,KL,91595464,14164.0,SIPO
32302,1986,ST,67953830,5451.0,SIPO
32311,1994,YZ,270581,3962.0,SIPO
32312,1994,QR,84585159,706.0, 
32313,1994,WX,14715516,18.0,POJISTNE
32314,1994,EF,9145510,43.0, 
32354,2019,GH,2328062,1422.0,SIPO
32355,2019,AB,41162085,265.0, 
32356,2019,OP,89666372,415.0,POJISTNE
32358,2022,MN,67742168,1943.0,SIPO
32410,2053,UV,22726750,4409.0,SIPO
32420,2058,ST,74001115,2564.0,SIPO
32421,2058,ST,17455786,131.0, 
32422,2058,YZ,6131786,5.0,POJISTNE
32423,2058,IJ,17472982,2.0, 
32445,2073,KL,67186093,1860.0,UVER
32446,2074,ST,88473778,2354.0,SIPO
32447,2074,EF,58509194,2568.0, 
32453,2078,GH,3833902,3598.0,SIPO
32454,2080,UV,34001827,5961.0,UVER
32455,2080,UV,62451505,13628.0,SIPO
32460,2083,WX,89846694,8282.0,SIPO
32495,2114,UV,20697045,5102.0,SIPO
32496,2114,CD,42759567,1742.0, 
32509,2121,ST,58488207,2625.0,SIPO
32510,2121,CD,4398906,3382.0, 
32512,2123,EF,18685001,2141.0,SIPO
32522,2131,YZ,249672,2560.0,SIPO
32523,2131,WX,91249781,957.0,SIPO
32535,2140,WX,27352017,2318.0,SIPO
32557,2153,IJ,28541732,5129.5,UVER
32558,2153,KL,60141891,1737.0,SIPO
32559,2153,CD,79112446,10303.0, 
32560,2153,AB,94730412,2223.0,POJISTNE
32566,2159,CD,89892041,1118.0,SIPO
32567,2159,AB,91621130,7601.0, 
32571,2162,UV,68998408,8468.0,SIPO
32574,2164,WX,68996095,7552.0,SIPO
32580,2167,IJ,18770349,5922.0,SIPO
32581,2167,QR,38404792,7094.0,UVER
32589,2170,KL,69894355,4838.0,SIPO
32590,2170,YZ,60630810,1468.0, 
32591,2170,MN,6311643,6011.0,POJISTNE
32609,2182,OP,88771032,5262.0,SIPO
32612,2186,ST,33835828,2283.0,SIPO
32617,2189,UV,89534949,1449.0,SIPO
32618,2189,WX,36365342,704.0, 
32619,2189,AB,32410866,2803.0,POJISTNE
32643,2203,GH,10702485,2320.0,SIPO
32653,2213,IJ,46736180,6273.0,SIPO
32654,2214,UV,77339476,948.0,LEASING
32659,2219,ST,13571501,4103.8,LEASING
32669,2227,MN,86397230,3873.7,UVER
32670,2227,EF,69415771,13386.0,SIPO
32671,2228,CD,46155524,3873.7,UVER
32672,2228,ST,68287300,4625.0,SIPO
32678,2233,WX,11697030,2028.0,SIPO
32682,2235,CD,65763521,3730.0,SIPO
32690,2239,AB,74974190,7355.0,SIPO
32691,2239,YZ,22235125,405.0, 
32731,2264,EF,60699409,1810.0,SIPO
32756,2282,YZ,67707383,4704.0,SIPO
32766,2287,KL,35842073,6275.0,SIPO
32775,2294,MN,18471438,4426.0,SIPO
32827,2328,MN,22747612,1846.0,SIPO
32848,2342,AB,54005241,2164.0,SIPO
32859,2347,WX,25791567,3477.0,SIPO
32873,2354,ST,23677683,9071.0,SIPO
32875,2358,OP,90139603,6114.0,SIPO
32881,2363,CD,96414541,1525.0,SIPO
32882,2363,YZ,11521917,599.0,SIPO
32884,2365,KL,22873586,3061.0,SIPO
32893,2371,UV,10878855,7101.3,UVER
32894,2371,YZ,33079290,12510.0,SIPO
32895,2371,AB,87190907,793.0, 
32896,2371,OP,51855623,1087.0,POJISTNE
32897,2371,YZ,45326221,294.0, 
32920,2385,MN,97151100,1305.0,LEASING
32926,2390,WX,12861097,2353.0,LEASING
32927,2390,KL,62916707,2206.0,SIPO
32928,2390,QR,66811156,11464.0, 
32929,2391,GH,6469798,4959.0,SIPO
32930,2393,KL,70831024,4292.0,SIPO
32931,2393,AB,73102003,1253.0,LEASING
32932,2394,KL,1669449,3103.0,UVER
32933,2394,IJ,38287389,3131.0,SIPO
32934,2394,CD,11698562,182.0, 
32935,2394,WX,93556361,788.0,POJISTNE
32938,2397,YZ,20025152,3113.0,SIPO
32939,2397,MN,30975151,16.0, 
32942,2402,IJ,65373653,2384.0,SIPO
32943,2403,GH,38700193,3031.0,SIPO
32966,2420,YZ,71461701,2401.0,SIPO
32974,2425,KL,64028662,5936.0,SIPO
32978,2427,CD,39447444,5496.0,SIPO
32979,2427,YZ,61671554,868.0, 
32980,2427,UV,48815095,2342.0,POJISTNE
32981,2429,QR,50382167,6786.0,SIPO
32982,2429,GH,91816699,369.0, 
32983,2431,KL,96937953,1243.0,SIPO
32984,2431,UV,92502820,236.0, 
32985,2431,IJ,28942603,2305.0,POJISTNE
32986,2431,WX,63151824,1502.0,LEASING
32989,2434,CD,94916831,2927.0,SIPO
32990,2435,UV,85717063,1633.9,LEASING
32991,2435,WX,21075344,7904.0,SIPO
32994,2438,GH,26398313,5817.0,SIPO
32995,2438,UV,62592428,705.0, 
33000,2441,OP,53539413,4719.0,SIPO
33001,2441,ST,57518833,490.0, 
33002,2441,ST,13103747,785.0,POJISTNE
33018,2456,YZ,58417534,4187.3,UVER
33019,2456,KL,71291804,9554.0,SIPO
33021,2459,ST,65574568,1971.0,SIPO
33025,2464,WX,54447740,2592.0,LEASING
33026,2464,ST,28556400,5555.0,SIPO
33027,2464,KL,74763947,4681.0, 
33052,2476,IJ,23237085,2854.0,SIPO
33065,2483,KL,97563403,4996.0,SIPO
33066,2483,GH,9561491,4926.0, 
33067,2484,OP,3728384,2343.0,SIPO
33068,2484,OP,83567636,538.0, 
33069,2484,GH,75644820,599.0,POJISTNE
33070,2484,ST,72945260,1390.0, 
33086,2493,EF,91739165,5375.0,SIPO
33111,2509,OP,85724323,7073.0,SIPO
33112,2509,AB,73543202,4377.0, 
33113,2509,OP,83953725,1950.0,POJISTNE
33114,2510,EF,59125840,6922.0,SIPO
33115,2510,CD,54819261,92.0, 
33116,2510,QR,50671142,904.0,POJISTNE
33117,2511,KL,56617802,2696.0,SIPO
33118,2511,ST,88212847,3059.0, 
33126,2519,OP,87381881,1599.0,SIPO
33139,2528,UV,51561528,2824.0,SIPO
33161,2542,UV,28103435,435.0,SIPO
33162,2542,AB,12512219,2637.0, 
33163,2542,YZ,40178102,308.0,POJISTNE
33179,2550,AB,94691901,6828.0,SIPO
33180,2550,MN,80567723,403.0, 
33181,2550,GH,78013139,67.0,POJISTNE
33182,2550,ST,71683752,49.0, 
33188,2554,CD,41483783,7607.0,SIPO
33192,2557,YZ,31457412,2806.0,SIPO
33201,2567,OP,14598107,2574.0,SIPO
33208,2572,ST,86283236,7500.0,UVER
33215,2579,OP,96343248,2688.0,SIPO
33218,2581,OP,81132262,4769.0,SIPO
33224,2588,MN,69929891,6509.0,SIPO
33227,2590,YZ,34911799,1300.0,SIPO
33228,2590,KL,50073719,660.0, 
33229,2590,MN,76566916,60.0,POJISTNE
33237,2596,EF,34919470,2285.0,SIPO
33244,2603,ST,30168819,3210.0,SIPO
33253,2608,OP,78614222,4788.0,SIPO
33261,2617,QR,48354953,166.0,SIPO
33262,2617,OP,4205275,1867.0, 
33277,2628,GH,64364433,3090.0,LEASING
33278,2631,CD,16949427,2125.0,SIPO
33288,2640,ST,20136499,8872.0,SIPO
33314,2652,CD,2992314,1735.0,SIPO
33315,2652,QR,98601030,6351.0, 
33323,2656,OP,41066408,409.0,SIPO
33324,2656,OP,42664700,1718.0,SIPO
33338,2667,ST,2693307,2180.0,SIPO
33351,2676,OP,32712727,1510.0,SIPO
33352,2676,IJ,56445985,1339.0, 
33353,2676,ST,71575033,2348.0,POJISTNE
33370,2685,CD,35602325,2576.0,SIPO
33374,2689,YZ,50778090,2727.0,SIPO
33375,2689,UV,36906784,2121.0, 
33376,2690,YZ,55287820,2017.0,SIPO
33394,2701,MN,46385306,489.0,SIPO
33395,2701,MN,24402356,5761.0, 
33396,2702,WX,31848305,3537.0,SIPO
33397,2702,WX,90875982,29.0, 
33429,2725,CD,59237199,3197.0,SIPO
33430,2725,WX,80807143,66.0, 
33431,2725,IJ,64775931,461.0,POJISTNE
33432,2725,WX,31665891,1934.0,UVER
33433,2726,EF,2342153,5297.0,SIPO
33434,2728,OP,99268948,2607.0,UVER
33435,2728,EF,96346175,11222.0,SIPO
33437,2730,YZ,36823308,2284.0,SIPO
33439,2732,ST,11633754,1564.9,LEASING
33455,2743,ST,1417857,3330.0,SIPO
33456,2743,GH,18241173,2811.0, 
33457,2743,QR,20341313,1870.0,POJISTNE
33464,2747,IJ,7507563,3826.0,SIPO
33469,2751,MN,89055364,826.0,SIPO
33470,2751,WX,57857632,2957.0, 
33478,2756,YZ,94753807,8702.0,SIPO
33482,2760,OP,87346362,5369.0,SIPO
33483,2760,IJ,9268027,4476.0, 
33506,2772,ST,65062320,7594.0,SIPO
33507,2773,WX,54261672,3354.0,SIPO
33508,2773,UV,95782577,154.0, 
33509,2773,WX,5557954,36.0,POJISTNE
33510,2773,IJ,16981333,59.0, 
33514,2776,QR,40267509,1647.0,SIPO
33541,2799,GH,12735343,1043.0,SIPO
33542,2799,WX,8040637,4870.0, 
33543,2799,CD,2489036,2493.0,POJISTNE
33563,2814,QR,14418357,2627.0,SIPO
33614,2842,MN,19413084,358.0,SIPO
33615,2842,UV,64184588,930.0, 
33616,2842,AB,97435020,862.0,POJISTNE
33618,2845,EF,94221847,6559.0,SIPO
33631,2857,WX,60526561,6317.0,SIPO
33635,2861,GH,70139986,2613.0,SIPO
33643,2865,QR,75203019,3482.0,SIPO
33644,2865,OP,5581480,8.0, 
33645,2865,ST,96803217,2.0,POJISTNE
33646,2865,OP,25167072,1.0, 
33650,2869,UV,37169212,2562.0,SIPO
33651,2870,WX,9366387,5851.0,SIPO
33656,2873,WX,11313259,3615.0,SIPO
33657,2873,EF,63152539,2925.0, 
33658,2873,EF,4028761,761.0,POJISTNE
33659,2873,OP,80315440,693.0, 
33670,2884,UV,41624492,3854.0,SIPO
33671,2885,IJ,81014710,7905.0,SIPO
33673,2887,KL,73852997,5645.0,SIPO
33686,2895,CD,10887700,5598.0,SIPO
33696,2906,IJ,29248845,2454.0,SIPO
33697,2906,QR,22673285,6863.0, 
33698,2906,EF,13827365,341.0,POJISTNE
33700,2908,YZ,40506255,3207.0,SIPO
33721,2919,ST,15447330,7331.0,SIPO
33722,2920,EF,16727841,5493.0,SIPO
33725,2925,QR,35286706,4297.0,SIPO
33736,2931,QR,47281336,2884.0,SIPO
33762,2945,AB,32185286,1854.0,SIPO
33767,2949,UV,79491674,783.0,SIPO
33768,2949,QR,82074588,1268.0,SIPO
33769,2950,QR,59668195,8653.0,SIPO
33791,2967,QR,98696469,2666.0,SIPO
33792,2967,YZ,72003149,1042.0, 
33793,2967,KL,50707632,4489.0,POJISTNE
33829,2989,QR,70749723,3395.0,SIPO
33830,2990,KL,10709649,22.0,SIPO
33831,2990,GH,22984445,2704.0, 
33851,3004,YZ,61573129,1522.0,SIPO
33852,3004,GH,60290586,1572.0,SIPO
33857,3007,CD,27930361,983.0,SIPO
33858,3007,KL,5890685,1405.0, 
33859,3007,UV,2805859,5596.0,POJISTNE
33860,3007,ST,61215889,997.0, 
33863,3011,GH,88863443,2042.0,SIPO
33864,3011,WX,47335153,138.0, 
33865,3012,YZ,76434039,2601.0,SIPO
33867,3014,OP,52151411,4187.0,LEASING
33875,3021,AB,86677175,3241.8,UVER
33928,3055,KL,99765395,1279.0,SIPO
33929,3055,WX,24442416,1140.0,SIPO
33936,3060,IJ,55676627,3960.0,SIPO
33940,3064,IJ,63995122,1455.0,SIPO
33941,3064,EF,30132371,4714.0, 
33942,3064,ST,35513132,1285.0,UVER
33946,3067,EF,14703780,2604.0,SIPO
33947,3067,AB,61285483,1330.0, 
33948,3068,YZ,6201172,3878.0,SIPO
33951,3071,MN,64606320,5122.0,SIPO
33952,3071,ST,5976218,4268.0, 
33959,3076,WX,67460548,2715.0,SIPO
34000,3098,WX,95756363,4605.0,SIPO
34011,3107,EF,71699601,2642.0,SIPO
34014,3111,EF,58687466,3641.0,SIPO
34035,3124,KL,29770392,3649.0,SIPO
34036,3124,ST,56739848,811.0, 
34037,3124,ST,274038,876.0,POJISTNE
34039,3126,QR,39072895,3992.0,SIPO
34042,3130,ST,47109222,1546.0,SIPO
