client_id,birth_number,district_id
3420,790624,66
3426,780207,73
3435,455527,4
3439,670127,62
3446,571001,70
3451,740717,19
3452,755828,19
3457,235614,75
3463,795302,1
3468,336231,68
3469,755223,1
3472,465511,70
3479,335919,1
3486,620309,77
3487,590906,1
3489,660813,76
3499,690316,19
3509,655213,38
3512,460525,49
3515,755102,61
3527,780811,77
3528,706006,73
3530,715918,16
3533,636201,1
3539,200831,36
3541,345501,51
3556,271127,6
3560,440202,57
3562,310405,1
3564,480323,62
3573,725209,8
3582,550217,38
3585,686002,29
3609,556026,66
3610,190508,36
3611,725527,30
3628,275226,11
3632,435929,15
3636,780519,46
3637,590110,64
3638,436211,49
3640,780724,75
3649,596025,10
3653,175103,1
3657,210518,62
3664,510319,69
3668,726223,70
3680,235407,72
3693,220331,15
3701,545506,73
3705,655604,1
3708,585316,46
3710,280125,59
3713,445223,41
3719,300830,54
3747,641202,1
3757,220416,5
3762,595218,60
3779,490515,6
3781,755312,17
3783,685708,1
3784,741108,1
3786,200710,13
3798,546117,1
3804,335411,1
3833,350301,19
3842,760626,74
3843,425421,4
3849,326211,1
3850,575126,45
3851,611120,45
3881,475507,45
3884,631118,72
3906,361223,64
3919,420617,35
3929,571101,74
3933,465907,59
3942,520813,53
3947,670525,23
3948,795523,44
3955,605531,64
3958,465430,37
3960,640106,8
3975,545719,1
3978,701215,18
3981,790616,19
3984,645313,1
3988,745904,53
3990,730203,29
4004,575812,30
4012,566009,56
4026,455924,76
4032,645802,35
4037,666022,1
4057,225611,70
4061,781224,8
4065,420627,73
4069,590307,68
4072,410508,45
4081,780603,9
4103,650519,4
4109,530811,63
4121,230212,23
4137,490830,21
4147,721223,64
4149,790307,1
4169,805219,58
4178,260831,32
4188,760817,1
4195,450730,63
4202,705520,3
4210,790915,40
4217,515625,9
4221,415926,63
4223,700530,54
4231,595808,1
4238,715426,41
4245,190923,68
4260,670601,12
4273,766129,18
4276,735805,74
4288,465308,70
4292,520719,72
4298,200418,33
4301,565503,14
4310,255530,65
4321,736018,19
4328,765613,59
4338,441025,30
4346,735920,3
4348,785417,3
4355,386229,1
4365,610512,10
4367,820330,14
4369,650615,53
4371,681212,32
4373,511220,51
4381,590125,56
4382,801020,18
4385,726002,21
4397,731126,63
4399,676120,61
4405,595417,47
4411,500102,54
4412,526126,54
4416,701225,67
4420,570506,55
4427,401103,30
4428,540309,38
4430,385627,64
4433,680222,1
4441,436007,33
4445,645414,77
4449,491108,8
4461,575422,54
4494,521109,54
4506,546130,11
4514,401225,65
4523,520309,68
4529,760916,37
4532,531009,39
4546,515420,23
4547,436230,9
4549,206030,10
4561,685629,40
4574,666112,20
4580,446124,30
4591,330819,43
4594,401125,1
4610,665102,34
4615,510731,56
4617,771220,45
4633,806031,62
4642,605803,33
4668,385625,25
4683,560802,51
4689,630426,50
4690,625826,66
4711,550723,52
4714,110820,13
4724,736014,53
4727,706123,74
4728,701031,74
4733,550717,1
4745,485804,68
4748,280126,76
4751,730108,35
4752,391009,7
4753,345218,7
4755,545905,71
4756,505108,22
4759,800221,50
4774,510814,59
4790,460209,75
4793,465215,55
4802,710706,75
4804,305207,51
4808,816124,23
4811,715326,77
4815,700917,15
4826,776227,25
4836,521231,49
4853,390301,58
4904,615419,38
4915,630719,40
4930,810730,1
4956,461010,6
4994,780621,1
5010,505908,42
5056,575204,67
5137,790505,5
5138,745805,45
5149,621218,15
5164,711130,9
5214,760912,47
5215,736015,47
5217,405716,74
5237,770803,1
5247,430414,47
5253,466007,69
5287,710102,77
5321,500201,17
5404,765918,58
5413,460410,33
5433,750924,50
5460,611001,63
5473,685809,70
5478,451027,33
5487,475917,56
5539,350605,74
5579,510216,77
5618,535322,63
5684,555302,8
5736,530516,1
5965,510410,50
5978,445127,33
6001,370501,60
6183,631116,1
6185,485305,58
6186,520527,58
6363,736020,4
6408,560629,47
6473,405930,76
6501,701104,1
6610,540603,57
6616,530618,1
6750,460604,9
6753,620523,15
6803,806207,5
6829,636224,10
6944,700313,43
6967,531217,44
7011,615414,70
7100,615923,30
7241,575906,57
7311,490518,56
7325,750124,24
7567,370315,5
7632,480111,1
7787,510710,34
7815,465119,4
7862,651017,74
7864,351214,34
7959,785629,1
8013,420622,43
8359,791206,74
8571,351026,54
8611,481026,55
8615,395413,12
8636,416112,71
8661,545511,1
8666,715828,7
8670,435107,5
9250,630114,1
9316,586026,63
9428,650509,62
9451,420505,68
9457,780926,46
9593,685128,74
9880,706210,10
9933,411015,74
10066,635523,64
10077,730627,26
10199,795813,31
10201,851019,13
10276,761116,77
10703,435428,17
10997,725206,1
10998,671219,1
11034,720219,1
11050,575504,70
11131,570726,1
11274,690414,64
11275,635418,64
11372,610928,11
11381,795726,57
11497,595717,11
11545,665122,1
11638,545824,73
11662,720403,76
11755,455716,4
11976,396027,54
11977,440701,54
11978,711009,54
12181,610819,1
12358,430705,17
12376,590217,4
12432,650307,55
12547,636013,70
12695,790316,68
12730,645929,36
12859,765521,1
12991,470116,51
13051,650113,55
13201,370517,31
13246,425113,46
13260,775527,72
13276,770120,76
13490,695525,18
13690,630516,70
13694,765120,1
13751,790720,12
13912,751120,50
13921,706220,62
